eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
Channel1_Sample_1,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6971769,-5.2817128,WGS84,Channel1_Sample_1_Argyroneta_aquatica,HumanObservation,1,Diving Bell Spider,Argyroneta aquatica,Animalia,Arthropoda,Arachnida,Araneae,Dictynidae,species
Channel1_Sample_1,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6971769,-5.2817128,WGS84,Channel1_Sample_1_Cercopidae,HumanObservation,4,Froghopper nymph,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,family
Channel1_Sample_2,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6971769,-5.2817128,WGS84,Channel1_Sample_2_Ê,HumanObservation,0,,Ê,,,,,Ê,
Channel1_Sample_3,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6971769,-5.2817128,WGS84,Channel1_Sample_3_Cercopidae,HumanObservation,2,Froghopper nymph or larvae,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,family
Channel1_Sample_3,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6971769,-5.2817128,WGS84,Channel1_Sample_3_Gerris_lacustris,HumanObservation,1,Pond skater,Gerris lacustris,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,species
Channel2_Sample_1,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6969212,-5.2819331,WGS84,Channel2_Sample_1_Cercopidae,HumanObservation,1,Froghopper nymph or larvae,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,family
Channel2_Sample_2,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6969212,-5.2819331,WGS84,Channel2_Sample_2_Gerris_lacustris,HumanObservation,1,Pond skater,Gerris lacustris,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,species
Channel2_Sample_2,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6969212,-5.2819331,WGS84,Channel2_Sample_2_Odonata,HumanObservation,1,Dragonfly larvae ,,Animalia,Arthropoda,Insecta,Odonata,,order
Channel2_Sample_2,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6969212,-5.2819331,WGS84,Channel2_Sample_2_Polychaete,HumanObservation,1,Worm,,Animalia,Annelida,Polychaete,,,class
Channel2_Sample_3,South ,Bog ,10,Kick net sampling,"1h 45min. Opportunistic, hit sediment with pole for approximately 5 times before sample was taken. Samples taken a 0m, 5m, and 10m per channel",10,metre,09/11/2024,15:15,255,,Scotland,GB-SCT,Lochranza,,55.6969212,-5.2819331,WGS84,Channel2_Sample_3_Ê,HumanObservation,0,,Ê,,,,,Ê,
