eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
SSTransect_1_subsample_1,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:29,255,Started by the waterfall where the stream was no longer accessible and worked our way down,Scotland,GB-SCT,Lochranza,Joys.Basis.Premature,55.696523,-5.27007,WGS84,SSTransect_1_subsample_1_,HumanObservation,0,,,,,,,,
SSTransect_1_subsample_2,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:29,255,,Scotland,GB-SCT,Lochranza,Joys.Basis.Premature,55.696523,-5.27007,WGS84,SSTransect_1_subsample_2_,HumanObservation,0,,,,,,,,
SSTransect_1_subsample_3,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:29,255,,Scotland,GB-SCT,Lochranza,Joys.Basis.Premature,55.696523,-5.27007,WGS84,SSTransect_1_subsample_3_Ephemeroptera,HumanObservation,2,Mayfly,,Animalia,Arthropoda,Insecta,Ephemeroptera,,order
SSTransect_1_subsample_3,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:29,255,,Scotland,GB-SCT,Lochranza,Joys.Basis.Premature,55.696523,-5.27007,WGS84,SSTransect_1_subsample_3_Trichoptera,HumanObservation,1,Caddisfly,,Animalia,Arthropoda,Insecta,Trichoptera,,order
SSTransect_1_subsample_4,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:29,255,,Scotland,GB-SCT,Lochranza,Joys.Basis.Premature,55.696523,-5.27007,WGS84,SSTransect_1_subsample_4_Plecoptera,HumanObservation,1,Stonefly,,Animalia,Arthropoda,Insecta,Plecoptera,,order
SSTransect_2_subsample_1,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_1_Ephemeroptera,HumanObservation,4,Mayfly,,Animalia,Arthropoda,Insecta,Ephemeroptera,,order
SSTransect_2_subsample_1,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_1_Trombidiformes,HumanObservation,1,Hydrachnidia,,Animalia,Arthropoda,Arachnida,Trombidiformes,,order
SSTransect_2_subsample_1,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_1_Ephemeroptera,HumanObservation,1,Mayfly,,Animalia,Arthropoda,Insecta,Ephemeroptera,,order
SSTransect_2_subsample_2,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_2_Plecoptera,HumanObservation,1,Hydrachnidia,,Animalia,Arthropoda,Insecta,Plecoptera,,order
SSTransect_2_subsample_2,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_2_Anomopoda,HumanObservation,1,Caddisfly,,Animalia,Arthropoda,Branchiopoda,Anomopoda,,order
SSTransect_2_subsample_3,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_3_Plecoptera,HumanObservation,1,Stonefly,,Animalia,Arthropoda,Insecta,Plecoptera,,order
SSTransect_2_subsample_3,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_3_Daphnia_sp.,HumanObservation,1,Water flea,Daphnia sp.,Animalia,Arthropoda,Insecta,Diptera,Daphniidae,genus
SSTransect_2_subsample_3,South,Stream,,Kick net sampling,2 individuals kicked for 30 seconds into the kicknets twice at each sample site. Sample sites were 50m apart.,30,second,09/11/2024,15:48,255,,Scotland,GB-SCT,Lochranza,Dragonfly.Deaf.Unicorns,55.69662917,-5.270783644,WGS84,SSTransect_2_subsample_3_Plecoptera,HumanObservation,1,Stonefly,,Animalia,Arthropoda,Insecta,Plecoptera,,order
