eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,occurrenceStatus,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
Transect_Site1_Sp1,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp1_Ardea_cinerea,HumanObservation,present,Grey Heron,Ardea cinerea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,species
Transect_Site1_Sp2,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp2_Troglodytes_troglodytes,HumanObservation,present,Eurasian Wren,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,species
Transect_Site1_Sp3,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp3_Erithacus_rubecula,HumanObservation,present,European Robin,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,species
Transect_Site1_Sp4,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp4_Fringilla_coelebs,HumanObservation,present,Common Chaffinch,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species
Transect_Site1_Sp5,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp5_Corvus_cornix,HumanObservation,present,Hooded Crow,Corvus cornix,Animalia,Chordata,Aves,Passeriformes,Corvidae,species
Transect_Site1_Sp6,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp6_Saxicola_rubicola,HumanObservation,present,European Stonechat,Saxicola rubicola,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,species
Transect_Site1_Sp7,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp7_Anthus_pratensis,HumanObservation,present,Meadow Pipit,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,species
Transect_Site1_Sp8,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp8_Aquila_chrysaetos,HumanObservation,present,Golden Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,species
Transect_Site1_Sp9,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp9_Rana_temporaria,HumanObservation,present,Common Frog,Rana temporaria,Animalia,Chordata,Amphibia,Anura,Ranidae,species
Transect_Site1_Sp10,South,Bog,18,Transect,,,metre,09/12/2024,14:29,256,,Scotland,GB- SCT,Lochranza,,55.69744444,-5.28169444,WGS84,Transect_Site1_Sp10_Vipera_berus,HumanObservation,present,Adder,Vipera berus,Animalia,Chordata,Reptilia,Squamata,Viperidae,species
Transect_Site2_Sp1,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp1_Troglodytes_troglodytes,HumanObservation,present,Eurasian Wren,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,species
Transect_Site2_Sp2,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp2_Erithacus_rubecula,HumanObservation,present,European Robin,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,species
Transect_Site2_Sp3,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp3_Coloeus_monedula,HumanObservation,present,Eurasian Jackdaw,Coloeus monedula,Animalia,Chordata,Aves,Passeriformes,Corvidae,species
Transect_Site2_Sp4,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp4_Parus_major,HumanObservation,present,Great Tit,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,species
Transect_Site2_Sp5,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp5_Anthus_pratensis,HumanObservation,present,Meadow Pipit,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,species
Transect_Site2_Sp6,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp6_Falco_tinnunculus,HumanObservation,present,Common Kestrel,Falco tinnunculus,Animalia,Chordata,Aves,Falconiformes,Falconidae,species
Transect_Site2_Sp7,South,Bracken/Grassland,62,Transect,,,metre,09/11/2024,15:14,256,,Scotland,GB- SCT,Lochranza,,55.6985,-5.28641667,WGS84,Transect_Site2_Sp7_Aquila_chrysaetos,HumanObservation,present,Golden Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,species
Transect_Site3_Sp1,South,Bracken/Grassland,133,Transect,,,metre,09/12/2024,10:16,256,,Scotland,GB- SCT,Lochranza,,55.69783333,-5.28786111,WGS84,Transect_Site3_Sp1_Parus_major,HumanObservation,present,Great Tit,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,species
Transect_Site3_Sp2,South,Bracken/Grassland,133,Transect,,,metre,09/12/2024,10:16,256,,Scotland,GB- SCT,Lochranza,,55.69783333,-5.28786111,WGS84,Transect_Site3_Sp2_Troglodytes_troglodytes,HumanObservation,present,Eurasian Wren,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,species
Transect_Site3_Sp3,South,Bracken/Grassland,133,Transect,,,metre,09/12/2024,10:16,256,,Scotland,GB- SCT,Lochranza,,55.69783333,-5.28786111,WGS84,Transect_Site3_Sp3_Erithacus_rubecula,HumanObservation,present,European Robin,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,species
Transect_Site3_Sp4,South,Bracken/Grassland,133,Transect,,,metre,09/12/2024,10:16,256,,Scotland,GB- SCT,Lochranza,,55.69783333,-5.28786111,WGS84,Transect_Site3_Sp4_Aegithalos_caudatus,HumanObservation,present,Long-tailed Tit,Aegithalos caudatus,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,species
Transect_Site4_Sp1,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp1_Coloeus_monedula,HumanObservation,present,Eurasian Jackdaw,Coloeus monedula,Animalia,Chordata,Aves,Passeriformes,Corvidae,species
Transect_Site4_Sp2,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp2_Carduelis_carduelis,HumanObservation,present,European Goldfinch,Carduelis carduelis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species
Transect_Site4_Sp3,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp3_Troglodytes_troglodytes,HumanObservation,present,Eurasian Wren,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,species
Transect_Site4_Sp4,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp4_Erithacus_rubecula,HumanObservation,present,European Robin,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,species
Transect_Site4_Sp5,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp5_Corvus_cornix,HumanObservation,present,Hooded Crow,Corvus cornix,Animalia,Chordata,Aves,Passeriformes,Corvidae,species
Transect_Site4_Sp6,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp6_Accipiter_nisus,HumanObservation,present,Eurasian Sparrowhawk,Accipiter nisus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,species
Transect_Site4_Sp7,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp7_Ardea_cinerea,HumanObservation,present,Grey Heron,Ardea cinerea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,species
